ID,Notes,Amount,Day,Month,Quarterly Period,Year,Date,Category
4844,McDonald's Filet O Fish Burger,2.0,7,4,2020Q2,2020,2020-04-05,Fish
4617,McDonald's Filet O Fish Burger,2.95,5,2,2020Q1,2020,2020-02-07,Fish
4584,McDonald's Filet O Fish Burger,2.8,2,1,2020Q1,2020,2020-01-28,Fish
4551,McDonald's Filet O Fish Burger,2.8,5,1,2020Q1,2020,2020-01-17,Fish
4497,McDonald's Filet O Fish Burger,2.8,5,1,2020Q1,2020,2020-01-03,Fish
4486,McDonald's Filet O Fish Burger,2.8,1,12,2019Q4,2019,2019-12-30,Fish
4454,McDonald's Filet O Fish Burger,2.8,1,12,2019Q4,2019,2019-12-23,Fish
4438,McDonald's Filet O Fish Burger,2.8,1,12,2019Q4,2019,2019-12-16,Fish
4365,McDonald's Filet O Fish Burger,2.8,2,11,2019Q4,2019,2019-11-26,Fish
4335,McDonald's Filet O Fish Burger,2.95,5,11,2019Q4,2019,2019-11-15,Fish
4289,McDonald's Filet O Fish Burger,2.8,1,11,2019Q4,2019,2019-11-04,Fish
4239,McDonald's Double Filet O Fish,5.4,6,10,2019Q4,2019,2019-10-19,Fish
3811,Sentosa McDonald's double file o fish,6.35,5,6,2019Q2,2019,2019-06-21,Fish
3774,McDonald's Filet O Fish Burger,2.8,1,6,2019Q2,2019,2019-06-10,Fish
3700,McDonald's Double Filet O Fish,5.4,5,5,2019Q2,2019,2019-05-24,Fish
3659,McDonald's Double Filet O Fish,5.4,2,5,2019Q2,2019,2019-05-14,Fish
3608,McDonald's Double Filet O Fish,5.4,1,4,2019Q2,2019,2019-04-29,Fish
3552,McDonald's Double Filet O Fish,5.4,1,4,2019Q2,2019,2019-04-15,Fish
19,McDonald's Filet O Fish Burger,2.8,5,4,2019Q2,2019,2019-04-12,Fish
51,McDonald's sweet chili fish burger,6.0,5,4,2019Q2,2019,2019-04-05,Fish
254,McDonald's Filet O Fish Burger,2.8,6,2,2019Q1,2019,2019-02-09,Fish
418,McDonald's Double Filet O Fish,5.4,5,12,2018Q4,2018,2018-12-28,Fish
